GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,com.sun.mail.handlers,message_rfc822,99,0,8,0,23,0,9,0,5,0
JaCoCo Ant Example,com.sun.mail.handlers,multipart_mixed,61,0,6,0,15,0,8,0,5,0
JaCoCo Ant Example,com.sun.mail.handlers,text_plain,198,0,14,0,48,0,15,0,8,0
JaCoCo Ant Example,com.sun.mail.handlers,image_jpeg,20,0,2,0,3,0,4,0,3,0
JaCoCo Ant Example,com.sun.mail.handlers,text_xml,20,0,2,0,3,0,4,0,3,0
JaCoCo Ant Example,com.sun.mail.handlers,text_html,20,0,2,0,3,0,4,0,3,0
JaCoCo Ant Example,com.sun.mail.handlers,image_gif,141,0,12,0,26,0,13,0,7,0
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,inc_005fscenario_005fcreate_005fdialog_jsp,883,0,70,0,275,0,55,0,20,0
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,footer_jsp,25,99,10,2,9,34,7,4,1,4
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,inc_005faction_005flinks_jsp,84,0,8,0,29,0,8,0,4,0
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,fourohfour_jsp,4255,0,396,0,1342,0,281,0,83,0
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,fivehundred_jsp,4255,0,396,0,1342,0,281,0,83,0
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,message_jsp,535,0,50,0,165,0,37,0,12,0
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,fourohthree_jsp,4211,0,392,0,1328,0,278,0,82,0
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,technicaldifficulty_jsp,279,0,20,0,88,0,19,0,9,0
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,header_jsp,927,3198,222,166,367,936,199,76,5,76
JaCoCo Ant Example,com.mockey.jsp.WEB_002dINF.common,inc_005fcommon_005ffiles_jsp,1030,0,88,0,333,0,70,0,26,0
JaCoCo Ant Example,com.google.common.cache,AbstractCache,93,0,8,0,22,0,16,0,12,0
JaCoCo Ant Example,com.google.common.cache,LocalCache.WeakValueReference,28,0,0,0,10,0,8,0,8,0
